number,name,base_name,form_name,primary_type,secondary_type,total,hp,attack,defense,sp_atk,sp_def,speed,link,sprite_url
0212,Scizor (Mega Scizor),Scizor,Mega Scizor,Bug,Steel,600,70,150,140,65,100,75,https://pokemondb.net/pokedex/scizor,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/scizor-mega.avif
0213,Shuckle,Shuckle,,Bug,Rock,505,20,10,230,10,230,5,https://pokemondb.net/pokedex/shuckle,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/shuckle.avif
0214,Heracross,Heracross,,Bug,Fighting,500,80,125,75,40,95,85,https://pokemondb.net/pokedex/heracross,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/heracross.avif
0214,Heracross (Mega Heracross),Heracross,Mega Heracross,Bug,Fighting,600,80,185,115,40,105,75,https://pokemondb.net/pokedex/heracross,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/heracross-mega.avif
0215,Sneasel,Sneasel,,Dark,Ice,430,55,95,55,35,75,115,https://pokemondb.net/pokedex/sneasel,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/sneasel.avif
0215,Sneasel (Hisuian Sneasel),Sneasel,Hisuian Sneasel,Fighting,Poison,430,55,95,55,35,75,115,https://pokemondb.net/pokedex/sneasel,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/sneasel-hisuian.avif
0216,Teddiursa,Teddiursa,,Normal,,330,60,80,50,50,50,40,https://pokemondb.net/pokedex/teddiursa,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/teddiursa.avif
0217,Ursaring,Ursaring,,Normal,,500,90,130,75,75,75,55,https://pokemondb.net/pokedex/ursaring,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/ursaring.avif
0218,Slugma,Slugma,,Fire,,250,40,40,40,70,40,20,https://pokemondb.net/pokedex/slugma,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/slugma.avif
0219,Magcargo,Magcargo,,Fire,Rock,430,60,50,120,90,80,30,https://pokemondb.net/pokedex/magcargo,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/magcargo.avif
0220,Swinub,Swinub,,Ice,Ground,250,50,50,40,30,30,50,https://pokemondb.net/pokedex/swinub,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/swinub.avif
0221,Piloswine,Piloswine,,Ice,Ground,450,100,100,80,60,60,50,https://pokemondb.net/pokedex/piloswine,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/piloswine.avif
0222,Corsola,Corsola,,Water,Rock,410,65,55,95,65,95,35,https://pokemondb.net/pokedex/corsola,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/corsola.avif
0222,Corsola (Galarian Corsola),Corsola,Galarian Corsola,Ghost,,410,60,55,100,65,100,30,https://pokemondb.net/pokedex/corsola,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/corsola-galarian.avif
0223,Remoraid,Remoraid,,Water,,300,35,65,35,65,35,65,https://pokemondb.net/pokedex/remoraid,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/remoraid.avif
0224,Octillery,Octillery,,Water,,480,75,105,75,105,75,45,https://pokemondb.net/pokedex/octillery,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/octillery.avif
0225,Delibird,Delibird,,Ice,Flying,330,45,55,45,65,45,75,https://pokemondb.net/pokedex/delibird,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/delibird.avif
0226,Mantine,Mantine,,Water,Flying,485,85,40,70,80,140,70,https://pokemondb.net/pokedex/mantine,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/mantine.avif
0227,Skarmory,Skarmory,,Steel,Flying,465,65,80,140,40,70,70,https://pokemondb.net/pokedex/skarmory,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/skarmory.avif
0228,Houndour,Houndour,,Dark,Fire,330,45,60,30,80,50,65,https://pokemondb.net/pokedex/houndour,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/houndour.avif
0229,Houndoom,Houndoom,,Dark,Fire,500,75,90,50,110,80,95,https://pokemondb.net/pokedex/houndoom,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/houndoom.avif
0229,Houndoom (Mega Houndoom),Houndoom,Mega Houndoom,Dark,Fire,600,75,90,90,140,90,115,https://pokemondb.net/pokedex/houndoom,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/houndoom-mega.avif
0230,Kingdra,Kingdra,,Water,Dragon,540,75,95,95,95,95,85,https://pokemondb.net/pokedex/kingdra,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/kingdra.avif
0231,Phanpy,Phanpy,,Ground,,330,90,60,60,40,40,40,https://pokemondb.net/pokedex/phanpy,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/phanpy.avif
0232,Donphan,Donphan,,Ground,,500,90,120,120,60,60,50,https://pokemondb.net/pokedex/donphan,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/donphan.avif
0233,Porygon2,Porygon2,,Normal,,515,85,80,90,105,95,60,https://pokemondb.net/pokedex/porygon2,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/porygon2.avif
0234,Stantler,Stantler,,Normal,,465,73,95,62,85,65,85,https://pokemondb.net/pokedex/stantler,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/stantler.avif
0235,Smeargle,Smeargle,,Normal,,250,55,20,35,20,45,75,https://pokemondb.net/pokedex/smeargle,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/smeargle.avif
0236,Tyrogue,Tyrogue,,Fighting,,210,35,35,35,35,35,35,https://pokemondb.net/pokedex/tyrogue,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/tyrogue.avif
0237,Hitmontop,Hitmontop,,Fighting,,455,50,95,95,35,110,70,https://pokemondb.net/pokedex/hitmontop,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/hitmontop.avif
0238,Smoochum,Smoochum,,Ice,Psychic,305,45,30,15,85,65,65,https://pokemondb.net/pokedex/smoochum,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/smoochum.avif
0239,Elekid,Elekid,,Electric,,360,45,63,37,65,55,95,https://pokemondb.net/pokedex/elekid,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/elekid.avif
0240,Magby,Magby,,Fire,,365,45,75,37,70,55,83,https://pokemondb.net/pokedex/magby,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/magby.avif
0241,Miltank,Miltank,,Normal,,490,95,80,105,40,70,100,https://pokemondb.net/pokedex/miltank,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/miltank.avif
0242,Blissey,Blissey,,Normal,,540,255,10,10,75,135,55,https://pokemondb.net/pokedex/blissey,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/blissey.avif
0243,Raikou,Raikou,,Electric,,580,90,85,75,115,100,115,https://pokemondb.net/pokedex/raikou,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/raikou.avif
0244,Entei,Entei,,Fire,,580,115,115,85,90,75,100,https://pokemondb.net/pokedex/entei,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/entei.avif
0245,Suicune,Suicune,,Water,,580,100,75,115,90,115,85,https://pokemondb.net/pokedex/suicune,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/suicune.avif
0246,Larvitar,Larvitar,,Rock,Ground,300,50,64,50,45,50,41,https://pokemondb.net/pokedex/larvitar,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/larvitar.avif
0247,Pupitar,Pupitar,,Rock,Ground,410,70,84,70,65,70,51,https://pokemondb.net/pokedex/pupitar,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/pupitar.avif
0248,Tyranitar,Tyranitar,,Rock,Dark,600,100,134,110,95,100,61,https://pokemondb.net/pokedex/tyranitar,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/tyranitar.avif
0248,Tyranitar (Mega Tyranitar),Tyranitar,Mega Tyranitar,Rock,Dark,700,100,164,150,95,120,71,https://pokemondb.net/pokedex/tyranitar,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/tyranitar-mega.avif
0249,Lugia,Lugia,,Psychic,Flying,680,106,90,130,90,154,110,https://pokemondb.net/pokedex/lugia,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/lugia.avif
0250,Ho-oh,Ho-oh,,Fire,Flying,680,106,130,90,110,154,90,https://pokemondb.net/pokedex/ho-oh,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/ho-oh.avif
0251,Celebi,Celebi,,Psychic,Grass,600,100,100,100,100,100,100,https://pokemondb.net/pokedex/celebi,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/celebi.avif
0252,Treecko,Treecko,,Grass,,310,40,45,35,65,55,70,https://pokemondb.net/pokedex/treecko,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/treecko.avif
0253,Grovyle,Grovyle,,Grass,,405,50,65,45,85,65,95,https://pokemondb.net/pokedex/grovyle,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/grovyle.avif
0254,Sceptile,Sceptile,,Grass,,530,70,85,65,105,85,120,https://pokemondb.net/pokedex/sceptile,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/sceptile.avif
0254,Sceptile (Mega Sceptile),Sceptile,Mega Sceptile,Grass,Dragon,630,70,110,75,145,85,145,https://pokemondb.net/pokedex/sceptile,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/sceptile-mega.avif
0255,Torchic,Torchic,,Fire,,310,45,60,40,70,50,45,https://pokemondb.net/pokedex/torchic,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/torchic.avif
0256,Combusken,Combusken,,Fire,Fighting,405,60,85,60,85,60,55,https://pokemondb.net/pokedex/combusken,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/combusken.avif
0257,Blaziken,Blaziken,,Fire,Fighting,530,80,120,70,110,70,80,https://pokemondb.net/pokedex/blaziken,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/blaziken.avif
0257,Blaziken (Mega Blaziken),Blaziken,Mega Blaziken,Fire,Fighting,630,80,160,80,130,80,100,https://pokemondb.net/pokedex/blaziken,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/blaziken-mega.avif
0258,Mudkip,Mudkip,,Water,,310,50,70,50,50,50,40,https://pokemondb.net/pokedex/mudkip,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/mudkip.avif
0259,Marshtomp,Marshtomp,,Water,Ground,405,70,85,70,60,70,50,https://pokemondb.net/pokedex/marshtomp,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/marshtomp.avif
0260,Swampert,Swampert,,Water,Ground,535,100,110,90,85,90,60,https://pokemondb.net/pokedex/swampert,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/swampert.avif
0260,Swampert (Mega Swampert),Swampert,Mega Swampert,Water,Ground,635,100,150,110,95,110,70,https://pokemondb.net/pokedex/swampert,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/swampert-mega.avif
0261,Poochyena,Poochyena,,Dark,,220,35,55,35,30,30,35,https://pokemondb.net/pokedex/poochyena,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/poochyena.avif
0262,Mightyena,Mightyena,,Dark,,420,70,90,70,60,60,70,https://pokemondb.net/pokedex/mightyena,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/mightyena.avif
0263,Zigzagoon,Zigzagoon,,Normal,,240,38,30,41,30,41,60,https://pokemondb.net/pokedex/zigzagoon,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/zigzagoon.avif
0263,Zigzagoon (Galarian Zigzagoon),Zigzagoon,Galarian Zigzagoon,Dark,Normal,240,38,30,41,30,41,60,https://pokemondb.net/pokedex/zigzagoon,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/zigzagoon-galarian.avif
0264,Linoone,Linoone,,Normal,,420,78,70,61,50,61,100,https://pokemondb.net/pokedex/linoone,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/linoone.avif
0264,Linoone (Galarian Linoone),Linoone,Galarian Linoone,Dark,Normal,420,78,70,61,50,61,100,https://pokemondb.net/pokedex/linoone,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/linoone-galarian.avif
0265,Wurmple,Wurmple,,Bug,,195,45,45,35,20,30,20,https://pokemondb.net/pokedex/wurmple,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/wurmple.avif
0266,Silcoon,Silcoon,,Bug,,205,50,35,55,25,25,15,https://pokemondb.net/pokedex/silcoon,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/silcoon.avif
0267,Beautifly,Beautifly,,Bug,Flying,395,60,70,50,100,50,65,https://pokemondb.net/pokedex/beautifly,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/beautifly.avif
0268,Cascoon,Cascoon,,Bug,,205,50,35,55,25,25,15,https://pokemondb.net/pokedex/cascoon,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/cascoon.avif
0269,Dustox,Dustox,,Bug,Poison,385,60,50,70,50,90,65,https://pokemondb.net/pokedex/dustox,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/dustox.avif
0270,Lotad,Lotad,,Water,Grass,220,40,30,30,40,50,30,https://pokemondb.net/pokedex/lotad,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/lotad.avif
0271,Lombre,Lombre,,Water,Grass,340,60,50,50,60,70,50,https://pokemondb.net/pokedex/lombre,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/lombre.avif
0272,Ludicolo,Ludicolo,,Water,Grass,480,80,70,70,90,100,70,https://pokemondb.net/pokedex/ludicolo,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/ludicolo.avif
0273,Seedot,Seedot,,Grass,,220,40,40,50,30,30,30,https://pokemondb.net/pokedex/seedot,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/seedot.avif
0274,Nuzleaf,Nuzleaf,,Grass,Dark,340,70,70,40,60,40,60,https://pokemondb.net/pokedex/nuzleaf,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/nuzleaf.avif
0275,Shiftry,Shiftry,,Grass,Dark,480,90,100,60,90,60,80,https://pokemondb.net/pokedex/shiftry,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/shiftry.avif
0276,Taillow,Taillow,,Normal,Flying,270,40,55,30,30,30,85,https://pokemondb.net/pokedex/taillow,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/taillow.avif
0277,Swellow,Swellow,,Normal,Flying,455,60,85,60,75,50,125,https://pokemondb.net/pokedex/swellow,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/swellow.avif
0278,Wingull,Wingull,,Water,Flying,270,40,30,30,55,30,85,https://pokemondb.net/pokedex/wingull,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/wingull.avif
0279,Pelipper,Pelipper,,Water,Flying,440,60,50,100,95,70,65,https://pokemondb.net/pokedex/pelipper,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/pelipper.avif
0280,Ralts,Ralts,,Psychic,Fairy,198,28,25,25,45,35,40,https://pokemondb.net/pokedex/ralts,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/ralts.avif
0281,Kirlia,Kirlia,,Psychic,Fairy,278,38,35,35,65,55,50,https://pokemondb.net/pokedex/kirlia,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/kirlia.avif
0282,Gardevoir,Gardevoir,,Psychic,Fairy,518,68,65,65,125,115,80,https://pokemondb.net/pokedex/gardevoir,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/gardevoir.avif
0282,Gardevoir (Mega Gardevoir),Gardevoir,Mega Gardevoir,Psychic,Fairy,618,68,85,65,165,135,100,https://pokemondb.net/pokedex/gardevoir,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/gardevoir-mega.avif
0283,Surskit,Surskit,,Bug,Water,269,40,30,32,50,52,65,https://pokemondb.net/pokedex/surskit,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/surskit.avif
0284,Masquerain,Masquerain,,Bug,Flying,454,70,60,62,100,82,80,https://pokemondb.net/pokedex/masquerain,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/masquerain.avif
0285,Shroomish,Shroomish,,Grass,,295,60,40,60,40,60,35,https://pokemondb.net/pokedex/shroomish,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/shroomish.avif
0286,Breloom,Breloom,,Grass,Fighting,460,60,130,80,60,60,70,https://pokemondb.net/pokedex/breloom,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/breloom.avif
0287,Slakoth,Slakoth,,Normal,,280,60,60,60,35,35,30,https://pokemondb.net/pokedex/slakoth,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/slakoth.avif
0288,Vigoroth,Vigoroth,,Normal,,440,80,80,80,55,55,90,https://pokemondb.net/pokedex/vigoroth,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/vigoroth.avif
0289,Slaking,Slaking,,Normal,,670,150,160,100,95,65,100,https://pokemondb.net/pokedex/slaking,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/slaking.avif
0290,Nincada,Nincada,,Bug,Ground,266,31,45,90,30,30,40,https://pokemondb.net/pokedex/nincada,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/nincada.avif
0291,Ninjask,Ninjask,,Bug,Flying,456,61,90,45,50,50,160,https://pokemondb.net/pokedex/ninjask,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/ninjask.avif
0292,Shedinja,Shedinja,,Bug,Ghost,236,1,90,45,30,30,40,https://pokemondb.net/pokedex/shedinja,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/shedinja.avif
0293,Whismur,Whismur,,Normal,,240,64,51,23,51,23,28,https://pokemondb.net/pokedex/whismur,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/whismur.avif
0294,Loudred,Loudred,,Normal,,360,84,71,43,71,43,48,https://pokemondb.net/pokedex/loudred,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/loudred.avif
0295,Exploud,Exploud,,Normal,,490,104,91,63,91,73,68,https://pokemondb.net/pokedex/exploud,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/exploud.avif
0296,Makuhita,Makuhita,,Fighting,,237,72,60,30,20,30,25,https://pokemondb.net/pokedex/makuhita,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/makuhita.avif
0297,Hariyama,Hariyama,,Fighting,,474,144,120,60,40,60,50,https://pokemondb.net/pokedex/hariyama,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/hariyama.avif
0298,Azurill,Azurill,,Normal,Fairy,190,50,20,40,20,40,20,https://pokemondb.net/pokedex/azurill,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/azurill.avif
0299,Nosepass,Nosepass,,Rock,,375,30,45,135,45,90,30,https://pokemondb.net/pokedex/nosepass,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/nosepass.avif
0300,Skitty,Skitty,,Normal,,260,50,45,45,35,35,50,https://pokemondb.net/pokedex/skitty,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/skitty.avif
0301,Delcatty,Delcatty,,Normal,,400,70,65,65,55,55,90,https://pokemondb.net/pokedex/delcatty,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/delcatty.avif
0302,Sableye,Sableye,,Dark,Ghost,380,50,75,75,65,65,50,https://pokemondb.net/pokedex/sableye,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/sableye.avif
0302,Sableye (Mega Sableye),Sableye,Mega Sableye,Dark,Ghost,480,50,85,125,85,115,20,https://pokemondb.net/pokedex/sableye,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/sableye-mega.avif
0303,Mawile,Mawile,,Steel,Fairy,380,50,85,85,55,55,50,https://pokemondb.net/pokedex/mawile,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/mawile.avif
0303,Mawile (Mega Mawile),Mawile,Mega Mawile,Steel,Fairy,480,50,105,125,55,95,50,https://pokemondb.net/pokedex/mawile,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/mawile-mega.avif
0304,Aron,Aron,,Steel,Rock,330,50,70,100,40,40,30,https://pokemondb.net/pokedex/aron,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/aron.avif
0305,Lairon,Lairon,,Steel,Rock,430,60,90,140,50,50,40,https://pokemondb.net/pokedex/lairon,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/lairon.avif
0306,Aggron,Aggron,,Steel,Rock,530,70,110,180,60,60,50,https://pokemondb.net/pokedex/aggron,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/aggron.avif
0306,Aggron (Mega Aggron),Aggron,Mega Aggron,Steel,,630,70,140,230,60,80,50,https://pokemondb.net/pokedex/aggron,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/aggron-mega.avif
0307,Meditite,Meditite,,Fighting,Psychic,280,30,40,55,40,55,60,https://pokemondb.net/pokedex/meditite,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/meditite.avif
0308,Medicham,Medicham,,Fighting,Psychic,410,60,60,75,60,75,80,https://pokemondb.net/pokedex/medicham,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/medicham.avif
0308,Medicham (Mega Medicham),Medicham,Mega Medicham,Fighting,Psychic,510,60,100,85,80,85,100,https://pokemondb.net/pokedex/medicham,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/medicham-mega.avif
0309,Electrike,Electrike,,Electric,,295,40,45,40,65,40,65,https://pokemondb.net/pokedex/electrike,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/electrike.avif
0310,Manectric,Manectric,,Electric,,475,70,75,60,105,60,105,https://pokemondb.net/pokedex/manectric,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/manectric.avif
0310,Manectric (Mega Manectric),Manectric,Mega Manectric,Electric,,575,70,75,80,135,80,135,https://pokemondb.net/pokedex/manectric,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/manectric-mega.avif
0311,Plusle,Plusle,,Electric,,405,60,50,40,85,75,95,https://pokemondb.net/pokedex/plusle,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/plusle.avif
0312,Minun,Minun,,Electric,,405,60,40,50,75,85,95,https://pokemondb.net/pokedex/minun,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/minun.avif
0313,Volbeat,Volbeat,,Bug,,430,65,73,75,47,85,85,https://pokemondb.net/pokedex/volbeat,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/volbeat.avif
0314,Illumise,Illumise,,Bug,,430,65,47,75,73,85,85,https://pokemondb.net/pokedex/illumise,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/illumise.avif
0315,Roselia,Roselia,,Grass,Poison,400,50,60,45,100,80,65,https://pokemondb.net/pokedex/roselia,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/roselia.avif
0316,Gulpin,Gulpin,,Poison,,302,70,43,53,43,53,40,https://pokemondb.net/pokedex/gulpin,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/gulpin.avif
0317,Swalot,Swalot,,Poison,,467,100,73,83,73,83,55,https://pokemondb.net/pokedex/swalot,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/swalot.avif
0318,Carvanha,Carvanha,,Water,Dark,305,45,90,20,65,20,65,https://pokemondb.net/pokedex/carvanha,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/carvanha.avif
0319,Sharpedo,Sharpedo,,Water,Dark,460,70,120,40,95,40,95,https://pokemondb.net/pokedex/sharpedo,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/sharpedo.avif
0319,Sharpedo (Mega Sharpedo),Sharpedo,Mega Sharpedo,Water,Dark,560,70,140,70,110,65,105,https://pokemondb.net/pokedex/sharpedo,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/sharpedo-mega.avif
0320,Wailmer,Wailmer,,Water,,400,130,70,35,70,35,60,https://pokemondb.net/pokedex/wailmer,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/wailmer.avif
0321,Wailord,Wailord,,Water,,500,170,90,45,90,45,60,https://pokemondb.net/pokedex/wailord,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/wailord.avif
0322,Numel,Numel,,Fire,Ground,305,60,60,40,65,45,35,https://pokemondb.net/pokedex/numel,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/numel.avif
0323,Camerupt,Camerupt,,Fire,Ground,460,70,100,70,105,75,40,https://pokemondb.net/pokedex/camerupt,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/camerupt.avif
0323,Camerupt (Mega Camerupt),Camerupt,Mega Camerupt,Fire,Ground,560,70,120,100,145,105,20,https://pokemondb.net/pokedex/camerupt,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/camerupt-mega.avif
0324,Torkoal,Torkoal,,Fire,,470,70,85,140,85,70,20,https://pokemondb.net/pokedex/torkoal,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/torkoal.avif
0325,Spoink,Spoink,,Psychic,,330,60,25,35,70,80,60,https://pokemondb.net/pokedex/spoink,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/spoink.avif
0326,Grumpig,Grumpig,,Psychic,,470,80,45,65,90,110,80,https://pokemondb.net/pokedex/grumpig,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/grumpig.avif
0327,Spinda,Spinda,,Normal,,360,60,60,60,60,60,60,https://pokemondb.net/pokedex/spinda,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/spinda.avif
0328,Trapinch,Trapinch,,Ground,,290,45,100,45,45,45,10,https://pokemondb.net/pokedex/trapinch,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/trapinch.avif
0329,Vibrava,Vibrava,,Ground,Dragon,340,50,70,50,50,50,70,https://pokemondb.net/pokedex/vibrava,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/vibrava.avif
0330,Flygon,Flygon,,Ground,Dragon,520,80,100,80,80,80,100,https://pokemondb.net/pokedex/flygon,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/flygon.avif
0331,Cacnea,Cacnea,,Grass,,335,50,85,40,85,40,35,https://pokemondb.net/pokedex/cacnea,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/cacnea.avif
0332,Cacturne,Cacturne,,Grass,Dark,475,70,115,60,115,60,55,https://pokemondb.net/pokedex/cacturne,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/cacturne.avif
0333,Swablu,Swablu,,Normal,Flying,310,45,40,60,40,75,50,https://pokemondb.net/pokedex/swablu,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/swablu.avif
0334,Altaria,Altaria,,Dragon,Flying,490,75,70,90,70,105,80,https://pokemondb.net/pokedex/altaria,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/altaria.avif
0334,Altaria (Mega Altaria),Altaria,Mega Altaria,Dragon,Fairy,590,75,110,110,110,105,80,https://pokemondb.net/pokedex/altaria,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/altaria-mega.avif
0335,Zangoose,Zangoose,,Normal,,458,73,115,60,60,60,90,https://pokemondb.net/pokedex/zangoose,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/zangoose.avif
0336,Seviper,Seviper,,Poison,,458,73,100,60,100,60,65,https://pokemondb.net/pokedex/seviper,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/seviper.avif
0337,Lunatone,Lunatone,,Rock,Psychic,460,90,55,65,95,85,70,https://pokemondb.net/pokedex/lunatone,https://img.pokemondb.net/sprites/scarlet-violet/icon/avif/lunatone.avif
