name,category,effect,sprite_url
Fresh-Start Mochi,Medicine,Resets a Pokémon's EVs.,https://img.pokemondb.net/s.png
Fresh Water,Medicine,Restores 30 HP.,https://img.pokemondb.net/sprites/items/fresh-water.png
Fried Fillet,,"When used in a sandwich, this very salty and bitter ingredient is at its best paired with sour seasonings.",https://img.pokemondb.net/s.png
Fried Food,General items,"One of the many ingredients that can be used for cooking at your camp. It’s been a while since it was fried, so it’s gotten greasy.",https://img.pokemondb.net/s.png
Friend Ball,Pokeballs,A Poké Ball that makes caught Pokémon more friendly.,https://img.pokemondb.net/sprites/items/friend-ball.png
Frigibax Scales,General items,"Material obtained after defeating/catching Frigibax, used in TM crafting.",https://img.pokemondb.net/s.png
Fruit Bunch,General items,One of the many ingredients that can be used for cooking at your camp. The syrupy fruits give off a strong tropical feel.,https://img.pokemondb.net/s.png
Full Heal,Medicine,Cures a Pokémon of any status condition.,https://img.pokemondb.net/sprites/items/full-heal.png
Full Incense,Hold items,Holder always attacks last. Breeding Snorlax produces Munchlax when held.,https://img.pokemondb.net/sprites/items/full-incense.png
Full Restore,Medicine,Fully restores HP and cures any status condition of a Pokémon.,https://img.pokemondb.net/sprites/items/full-restore.png
Galarica Cuff,General items,Evolves Galarian Slowpoke into Galarian Slowbro.,https://img.pokemondb.net/s.png
Galarica Twig,General items,"Used to create Galarica Cuff/Wreath, to evolve Galarian Slowpoke.",https://img.pokemondb.net/s.png
Galarica Wreath,General items,Evolves Galarian Slowpoke into Galarian Slowking.,https://img.pokemondb.net/s.png
Galladite,Hold items,Enables Gallade to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/galladite.png
Ganlon Berry,Berries,Raises Defense when HP is low.,https://img.pokemondb.net/sprites/items/ganlon-berry.png
Garchompite,Hold items,Enables Garchomp to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/garchompite.png
Gardevoirite,Hold items,Enables Gardevoir to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/gardevoirite.png
Gastly Gas,General items,"Material obtained after defeating/catching Gastly, used in TM crafting.",https://img.pokemondb.net/s.png
Gengarite,Hold items,Enables Gengar to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/gengarite.png
Genius Feather,Medicine,Increases Special Attack EVs by 1.,https://img.pokemondb.net/sprites/items/genius-feather.png
Genius Mochi,Medicine,Increases Special Attack EVs.,https://img.pokemondb.net/s.png
Genome Slate,,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Genome Room at Ramanas Park.,https://img.pokemondb.net/s.png
Gentle Mint,Battle items,Changes the Pokémon's stats to match the Gentle nature.,https://img.pokemondb.net/s.png
Ghost Gem,Hold items,Increases the power of a Ghost-type move only once.,https://img.pokemondb.net/sprites/items/ghost-gem.png
Ghost Memory,Hold items,Changes Silvally and its move Multi-Attack to Ghost type.,https://img.pokemondb.net/sprites/items/ghost-memory.png
Ghost Tera Shard,,Changes a Pokémon's Tera Type to Ghost.,https://img.pokemondb.net/s.png
Ghostium Z,Hold items,"Allows the use of Never-Ending Nightmare, the Ghost type Z-Move.",https://img.pokemondb.net/sprites/items/ghostium-z.png
Gible Scales,General items,"Material obtained after defeating/catching Gible, used in TM crafting.",https://img.pokemondb.net/s.png
Gigantamix,General items,One of the many ingredients that can be used for cooking at your camp. A mysterious spice. Even a tiny sprinkle is sure to make a curry gigantic.,https://img.pokemondb.net/s.png
Gigaton Ball,Pokeballs,,https://img.pokemondb.net/s.png
Gimmighoul Coin,General items,Material obtained after defeating/catching Gimmighoul. Allows evolution into Gholdengo.,https://img.pokemondb.net/s.png
Girafarig Fur,General items,"Material obtained after defeating/catching Girafarig, used in TM crafting.",https://img.pokemondb.net/s.png
Glalitite,Hold items,Enables Glalie to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/glalitite.png
Glimmet Crystal,General items,"Material obtained after defeating/catching Glimmet, used in TM crafting.",https://img.pokemondb.net/s.png
Gold Bottle,,"A popular option among hikers. It’s made with titanium, so it doesn’t rust even if it’s used to hold drinks with high sodium content.",https://img.pokemondb.net/s.png
Gold Bottle Cap,General items,Maximizes all of a Pokémon's IV stats in Hyper Training.,https://img.pokemondb.net/sprites/items/gold-bottle-cap.png
Gold Cup,,"A popular option among hikers. It’s made with titanium, so it doesn’t rust even if it’s used to hold drinks with high sodium content.",https://img.pokemondb.net/s.png
Gold Leaf,General items,,https://img.pokemondb.net/s.png
Gold Pick,,"A golden pick that oozes class. Using it on a sandwich lends an extravagant air that’ll make you want to eat up, even if you don’t love the fillings.",https://img.pokemondb.net/s.png
Golden Nanab Berry,Berries,"Drastically calms a Pokémon in battle, in Let's Go Pikachu/Eevee.",https://img.pokemondb.net/sprites/items/golden-nanab-berry.png
Golden Pinap Berry,Berries,"Drastically increases chance of getting items when a Pokémon is caught, in Pokémon Let's Go.",https://img.pokemondb.net/sprites/items/golden-pinap-berry.png
Golden Razz Berry,Berries,Makes a Pokémon easier to catch in Pokémon Let's Go.,https://img.pokemondb.net/sprites/items/golden-razz-berry.png
Gooey Mulch,General items,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/gooey-mulch.png
Goomy Goo,General items,"Material obtained after defeating/catching Goomy, used in TM crafting.",https://img.pokemondb.net/s.png
Gothita Eyelash,General items,"Material obtained after defeating/catching Gothita, used in TM crafting.",https://img.pokemondb.net/s.png
Grain Cake,General items,,https://img.pokemondb.net/s.png
Grass Gem,Hold items,Increases the power of a Grass-type move only once.,https://img.pokemondb.net/sprites/items/grass-gem.png
Grass Memory,Hold items,Changes Silvally and its move Multi-Attack to Grass type.,https://img.pokemondb.net/sprites/items/grass-memory.png
Grass Tera Shard,,Changes a Pokémon's Tera Type to Grass.,https://img.pokemondb.net/s.png
Grassium Z,Hold items,"Allows the use of Bloom Doom, the Grass type Z-Move.",https://img.pokemondb.net/sprites/items/grassium-z.png
Grassy Seed,Hold items,An item to be held by a Pokémon. It boosts Defense on Grassy Terrain. It can only be used once.,https://img.pokemondb.net/sprites/items/grassy-seed.png
Great Ball,Pokeballs,Catches wild Pokémon with 1.5x the rate of a Poké Ball.,https://img.pokemondb.net/sprites/items/great-ball.png
Greavard Wax,General items,"Material obtained after defeating/catching Greavard, used in TM crafting.",https://img.pokemondb.net/s.png
Green Apricorn,General items,"A green Apricorn. It has a mysterious, aromatic scent.",https://img.pokemondb.net/sprites/items/green-apricorn.png
Green Bell Pepper,,"An ingredient with some bitterness. When sliced, it adds a nice accent to a sandwich.",https://img.pokemondb.net/s.png
Green Dish,,A dish for picnics. Comes in plenty of colors to choose from based on the food or the mood. The green variety is quite popular.,https://img.pokemondb.net/s.png
Green Poké Ball Pick,,A sandwich pick with a simple green Poké Ball design. Often used by Trainers who picked a Grass-type Pokémon for their first partner.,https://img.pokemondb.net/s.png
Green Scarf,General items,Raises holder's Smart aspect in a Contest.,https://img.pokemondb.net/sprites/items/green-scarf.png
Green Shard,General items,A small green shard. It appears to be from some sort of implement made long ago.,https://img.pokemondb.net/sprites/items/green-shard.png
Grepa Berry,Berries,Increases Friendship but lowers Special Defense EVs.,https://img.pokemondb.net/sprites/items/grepa-berry.png
Grimer Toxin,General items,"Material obtained after defeating/catching Grimer, used in TM crafting.",https://img.pokemondb.net/s.png
Grip Claw,Hold items,A Pokémon held item that extends the duration of multiturn attacks like Bind and Wrap.,https://img.pokemondb.net/sprites/items/grip-claw.png
Griseous Core,Hold items,,https://img.pokemondb.net/s.png
Griseous Orb,Hold items,"Increases the power of Dragon- and Ghost-type moves when held by Giratina, and changes it to Origin Forme.",https://img.pokemondb.net/sprites/items/griseous-orb.png
Grit Dust,Hold items,"Raises EVs by 1 in Legends: Arceus, when current EVs are between 0-2.",https://img.pokemondb.net/s.png
Grit Gravel,Hold items,"Raises EVs by 1 in Legends: Arceus, when current EVs are between 3-5.",https://img.pokemondb.net/s.png
Grit Pebble,Hold items,"Raises EVs by 1 in Legends: Arceus, when current EVs are between 6-8.",https://img.pokemondb.net/s.png
Grit Rock,Hold items,"Raises EVs by 1 in Legends: Arceus, when current EVs are between 8-9.",https://img.pokemondb.net/s.png
Ground Gem,Hold items,Increases the power of a Ground-type move only once.,https://img.pokemondb.net/sprites/items/ground-gem.png
Ground Memory,Hold items,Changes Silvally and its move Multi-Attack to Ground type.,https://img.pokemondb.net/sprites/items/ground-memory.png
Ground Tera Shard,,Changes a Pokémon's Tera Type to Ground.,https://img.pokemondb.net/s.png
Groundium Z,Hold items,"Allows the use of Tectonic Rage, the Ground type Z-Move.",https://img.pokemondb.net/sprites/items/groundium-z.png
Growlithe Fur,General items,"Material obtained after defeating/catching Growlithe, used in TM crafting.",https://img.pokemondb.net/s.png
Growth Mulch,General items,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.,https://img.pokemondb.net/sprites/items/growth-mulch.png
Grubby Hanky,Hold items,A handkerchief dropped by a regular at Café Warehouse. It smells faintly like a Pokémon.,https://img.pokemondb.net/sprites/items/grubby-hanky.png
Guard Spec.,Battle items,Prevents stat reduction for five turns.,https://img.pokemondb.net/sprites/items/guard-spec.png
Gulpin Mucus,General items,"Material obtained after defeating/catching Gulpin, used in TM crafting.",https://img.pokemondb.net/s.png
Gyaradosite,Hold items,Enables Gyarados to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/gyaradosite.png
Haban Berry,Berries,Weakens a supereffective Dragon-type attack against the holding Pokémon.,https://img.pokemondb.net/sprites/items/haban-berry.png
Ham,,A very salty ingredient—and that very saltiness is what makes it such a nice companion to veggies.,https://img.pokemondb.net/s.png
Hamburger,,This very salty ingredient is the thing to add if you want to make your sandwich truly filling.,https://img.pokemondb.net/s.png
Happiny Dust,General items,"Material obtained after defeating/catching Happiny, used in TM crafting.",https://img.pokemondb.net/s.png
Hard Stone,Hold items,Increases the power of Rock-type moves.,https://img.pokemondb.net/sprites/items/hard-stone.png
Hasty Mint,Battle items,Changes the Pokémon's stats to match the Hasty nature.,https://img.pokemondb.net/s.png
Hatenna Dust,General items,"Material obtained after defeating/catching Hatenna, used in TM crafting.",https://img.pokemondb.net/s.png
Hawlucha Down,General items,"Material obtained after defeating/catching Hawlucha, used in TM crafting.",https://img.pokemondb.net/s.png
Heal Ball,Pokeballs,Catches wild Pokémon and fully heals them.,https://img.pokemondb.net/sprites/items/heal-ball.png
Heal Powder,Medicine,"Heals all status problems, but lowers Friendship.",https://img.pokemondb.net/sprites/items/heal-powder.png
Health Candy,Medicine,Increases a Pokémon's HP stat by 1.,https://img.pokemondb.net/sprites/items/health-candy.png
Health Candy L,Medicine,Increases a Pokémon's HP stat.,https://img.pokemondb.net/sprites/items/health-candy-l.png
Health Candy XL,Medicine,Increases a Pokémon's HP stat.,https://img.pokemondb.net/sprites/items/health-candy-xl.png
Health Feather,Medicine,Increases HP EVs by 1.,https://img.pokemondb.net/sprites/items/health-feather.png
Health Mochi,Medicine,Increases HP EVs.,https://img.pokemondb.net/s.png
Heart Scale,General items,"A pretty, heart-shaped scale that is extremely rare. It glows faintly in the colors of the rainbow.",https://img.pokemondb.net/sprites/items/heart-scale.png
Hearty Grains,General items,,https://img.pokemondb.net/s.png
Heat Rock,Hold items,A Pokémon held item that extends the duration of the move Sunny Day used by the holder.,https://img.pokemondb.net/sprites/items/heat-rock.png
Heavy Ball,Pokeballs,A Poké Ball for catching very heavy Pokémon.,https://img.pokemondb.net/sprites/items/heavy-ball.png
Heavy-Duty Boots,Hold items,Protects the holder from traps set on the battlefield.,https://img.pokemondb.net/s.png
Helix Fossil,General items,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a seashell.,https://img.pokemondb.net/sprites/items/helix-fossil.png
Heracronite,Hold items,Enables Heracross to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/heracronite.png
Heracross Claw,General items,"Material obtained after defeating/catching Heracross, used in TM crafting.",https://img.pokemondb.net/s.png
Herbed Sausage,,A very salty and bitter ingredient. The balance between the potent saltiness and the herbs’ bitterness make this sausage a pleasure.,https://img.pokemondb.net/s.png
Heroic Sword Pick,,"A pick made to be the coolest. Once you’ve eaten, you can pretend you’re a hero of legend. Souvenir shops at tourist spots sell these for some reason.",https://img.pokemondb.net/s.png
Hi-tech Earbuds,Hold items,Strange earbuds that allow you to freely control the volume of various sounds.,https://img.pokemondb.net/s.png
Hippopotas Sand,General items,"Material obtained after defeating/catching Hippopotas, used in TM crafting.",https://img.pokemondb.net/s.png
HM01,Machines,Teaches the move Cut.,https://img.pokemondb.net/sprites/items/tm-normal.png
HM02,Machines,Teaches the move Fly.,https://img.pokemondb.net/sprites/items/tm-flying.png
HM03,Machines,Teaches the move Surf.,https://img.pokemondb.net/sprites/items/tm-water.png
HM04,Machines,Teaches the move Strength.,https://img.pokemondb.net/sprites/items/tm-normal.png
HM05,Machines,Teaches the move Flash/Defog/Whirlpool/Waterfall.,https://img.pokemondb.net/sprites/items/tm-water.png
HM06,Machines,Teaches the move Whirlpool/Rock Smash/Dive.,https://img.pokemondb.net/sprites/items/tm-water.png
HM07,Machines,Teaches the move Waterfall.,https://img.pokemondb.net/sprites/items/tm-water.png
HM08,Machines,Teaches the move Dive/Rock Climb.,https://img.pokemondb.net/sprites/items/tm-normal.png
Hometown Muffin,General items,,https://img.pokemondb.net/s.png
Hondew Berry,Berries,Increases Friendship but lowers Special Attack EVs.,https://img.pokemondb.net/sprites/items/hondew-berry.png
Honey,General items,"A sweet honey with a lush aroma that attracts wild Pokémon when it is used in grass, caves, or on special trees.",https://img.pokemondb.net/sprites/items/honey.png
Honey Cake,General items,,https://img.pokemondb.net/s.png
Honor Of Kalos,Hold items,A precious symbol that is awarded only to an individual who has done great things for the Kalos region.,https://img.pokemondb.net/sprites/items/honor-of-kalos.png
Hopo Berry,General items,"A Berry that can be fed to a Pokémon to restore its PP. If a wild Pokémon eats one of these Berries, that Pokémon’s reactions will be dulled.",https://img.pokemondb.net/s.png
Hoppip Leaf,General items,"Material obtained after defeating/catching Hoppip, used in TM crafting.",https://img.pokemondb.net/s.png
Horseradish,,A very spicy condiment. Its distinctive sharp sizzle in your sinuses makes it a good match for rich fillings.,https://img.pokemondb.net/s.png
Houndoominite,Hold items,Enables Houndoom to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/houndoominite.png
Houndour Fang,General items,"Material obtained after defeating/catching Houndour, used in TM crafting.",https://img.pokemondb.net/s.png
HP Up,Medicine,Increases HP EVs by 10.,https://img.pokemondb.net/sprites/items/hp-up.png
Hyper Potion,Medicine,Restores 120 HP.,https://img.pokemondb.net/sprites/items/hyper-potion.png
Iapapa Berry,Berries,"Restores HP if it's low, but may cause confusion.",https://img.pokemondb.net/sprites/items/iapapa-berry.png
Ice Gem,Hold items,Increases the power of an Ice-type move only once.,https://img.pokemondb.net/sprites/items/ice-gem.png
Ice Heal,Medicine,Cures a Pokémon of freezing.,https://img.pokemondb.net/sprites/items/ice-heal.png
Ice Memory,Hold items,Changes Silvally and its move Multi-Attack to Ice type.,https://img.pokemondb.net/sprites/items/ice-memory.png
Ice Stone,General items,Evolves certain species of Pokémon.,https://img.pokemondb.net/sprites/items/ice-stone.png
Ice Tera Shard,,Changes a Pokémon's Tera Type to Ice.,https://img.pokemondb.net/s.png
Iceroot Carrot,General items,Produce that the King of Bountiful Harvests’ beloved steed likes to eat. It grew in a field covered in snow.,https://img.pokemondb.net/s.png
Icicle Plate,Hold items,Increases power of Ice-type moves. Changes Arceus' type to Ice.,https://img.pokemondb.net/sprites/items/icicle-plate.png
Icium Z,Hold items,"Allows the use of Subzero Slammer, the Ice type Z-Move.",https://img.pokemondb.net/sprites/items/icium-z.png
Icy Rock,Hold items,A Pokémon held item that extends the duration of the move Hail used by the holder.,https://img.pokemondb.net/sprites/items/icy-rock.png
Igglybuff Fluff,General items,"Material obtained after defeating/catching Igglybuff, used in TM crafting.",https://img.pokemondb.net/s.png
Impidimp Hair,General items,"Material obtained after defeating/catching Impidimp, used in TM crafting.",https://img.pokemondb.net/s.png
Impish Mint,Battle items,Changes the Pokémon's stats to match the Impish nature.,https://img.pokemondb.net/s.png
Incinium Z,Hold items,"Allows Incineroar to upgrade Darkest Lariat to a Z-Move, Malicious Moonsault.",https://img.pokemondb.net/sprites/items/incinium-z.png
Indeedee Fur,General items,"Material obtained after defeating/catching Indeedee, used in TM crafting.",https://img.pokemondb.net/s.png
Insect Plate,Hold items,Increases power of Bug-type moves. Changes Arceus' type to Bug.,https://img.pokemondb.net/sprites/items/insect-plate.png
Instant Noodles,General items,"One of the many ingredients that can be used for cooking at your camp. It has a junk-food sort of taste, but it goes well with curry.",https://img.pokemondb.net/s.png
Intriguing Stone,Hold items,A rather curious stone that might appear to be valuable to some. It's all in the eye of the beholder.,https://img.pokemondb.net/sprites/items/intriguing-stone.png
Iron,Medicine,Increases Defense EVs by 10.,https://img.pokemondb.net/sprites/items/iron.png
Iron Ball,Hold items,A Pokémon held item that cuts Speed. It makes Flying-type and levitating holders susceptible to Ground moves.,https://img.pokemondb.net/sprites/items/iron-ball.png
Iron Barktongue,General items,,https://img.pokemondb.net/s.png
Iron Chunk,General items,,https://img.pokemondb.net/s.png
Iron Plate,Hold items,Increases power of Steel-type moves. Changes Arceus' type to Steel.,https://img.pokemondb.net/sprites/items/iron-plate.png
Item Drop,Battle items,"When used, it causes an ally Pokémon to drop a held item.",https://img.pokemondb.net/sprites/items/item-drop.png
Item Urge,Battle items,"When used, it causes an ally Pokémon to use its held item.",https://img.pokemondb.net/sprites/items/item-urge.png
Jaboca Berry,Berries,"If held by a Pokémon and a physical attack lands, the attacker also takes damage.",https://img.pokemondb.net/sprites/items/jaboca-berry.png
Jalapeño,,A very spicy ingredient—so spicy as to leave no room for ambivalence about it. You either like it or you don’t.,https://img.pokemondb.net/s.png
Jam,,"A condiment that’s very sweet and likewise very sour. Take care when adding it to sandwiches, as the sweet side can overwhelm.",https://img.pokemondb.net/s.png
Jet Ball,Pokeballs,,https://img.pokemondb.net/s.png
Johto Slate,,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Johto Room at Ramanas Park.,https://img.pokemondb.net/s.png
Jolly Mint,Battle items,Changes the Pokémon's stats to match the Jolly nature.,https://img.pokemondb.net/s.png
Jubilife Muffin,General items,,https://img.pokemondb.net/s.png
Kangaskhanite,Hold items,Enables Kangaskhan to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/kangaskhanite.png
Kanto Slate,,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Kanto Room at Ramanas Park.,https://img.pokemondb.net/s.png
Kasib Berry,Berries,Weakens a supereffective Ghost-type attack against the holding Pokémon.,https://img.pokemondb.net/sprites/items/kasib-berry.png
Kebia Berry,Berries,Weakens a supereffective Poison-type attack against the holding Pokémon.,https://img.pokemondb.net/sprites/items/kebia-berry.png
Kee Berry,Berries,"If held by a Pokémon, this Berry will increase the holder's Defense if it's hit with a physical move.",https://img.pokemondb.net/sprites/items/kee-berry.png
Kelpsy Berry,Berries,Increases Friendship but lowers Attack EVs.,https://img.pokemondb.net/sprites/items/kelpsy-berry.png
Ketchup,,"A condiment with very salty and tart flavor. While a number of other ingredients go into its signature flavor, the noble tomato is its heart and soul.",https://img.pokemondb.net/s.png
King's Leaf,General items,,https://img.pokemondb.net/s.png
King's Rock,Hold items,May cause opponent to flinch. Evolves Poliwhirl and Slowpoke when traded holding the item.,https://img.pokemondb.net/sprites/items/kings-rock.png
Kiwi,,A very tart ingredient that has a light touch of sweetness as well. It goes well with rich ingredients.,https://img.pokemondb.net/s.png
Klawf Claw,General items,"Material obtained after defeating/catching Klawf, used in TM crafting.",https://img.pokemondb.net/s.png
Klawf Stick,,A very sweet and salty ingredient. It’s a nutritious processed food made with a concentrate derived from shed Klawf shells.,https://img.pokemondb.net/s.png
Klefki Key,General items,"Material obtained after defeating/catching Klefki, used in TM crafting.",https://img.pokemondb.net/s.png
Kofu's Wallet,,"A wallet that was left behind by Kofu, the Gym Leader at the Cascarrafa Gym. You’re to deliver it to him at the market in Porto Marinada.",https://img.pokemondb.net/s.png
Komala Claw,General items,"Material obtained after defeating/catching Komala, used in TM crafting.",https://img.pokemondb.net/s.png
Kommonium Z,Hold items,"Allows Kommo-o to upgrade Clanging Scales to a Z-Move, Clangorous Soulblaze.",https://img.pokemondb.net/sprites/items/kommonium-z.png
Koraidon's Poké Ball,,A Poké Ball that can hold the mysterious Pokémon known as Koraidon. A boy named Arven gave it to you.,https://img.pokemondb.net/s.png
Kricketot Shell,General items,"Material obtained after defeating/catching Kricketot, used in TM crafting.",https://img.pokemondb.net/s.png
Lagging Tail,Hold items,Holder always attacks last.,https://img.pokemondb.net/sprites/items/lagging-tail.png
Lansat Berry,Berries,Increases critical-hit ratio when HP is low.,https://img.pokemondb.net/sprites/items/lansat-berry.png
Large Leek,General items,One of the many ingredients that can be used for cooking at your camp. Whether this is the kind of vegetable stalk that Farfetch’d like is unknown.,https://img.pokemondb.net/s.png
Larvesta Fuzz,General items,"Material obtained after defeating/catching Larvesta, used in TM crafting.",https://img.pokemondb.net/s.png
Larvitar Claw,General items,"Material obtained after defeating/catching Larvitar, used in TM crafting.",https://img.pokemondb.net/s.png
Latiasite,Hold items,Enables Latias to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/latiasite.png
Latiosite,Hold items,Enables Latios to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/latiosite.png
Lava Cookie,Medicine,Heals all major status conditions.,https://img.pokemondb.net/sprites/items/lava-cookie.png
Lax Incense,Hold items,Lowers the opponent's accuracy. Breeding Wobbuffet produces Wynaut when held.,https://img.pokemondb.net/sprites/items/lax-incense.png
Lax Mint,Battle items,Changes the Pokémon's stats to match the Lax nature.,https://img.pokemondb.net/s.png
Leaden Ball,Pokeballs,,https://img.pokemondb.net/s.png
Leader's Crest,,A shard of what appears to be an old blade of some sort. It is held only by Bisharp that head up a group of Pawniard.,https://img.pokemondb.net/s.png
Leaf Letter,General items,A letter written on a leaf. Something is written using Eevee's footprints.,https://img.pokemondb.net/s.png
Leaf Stone,General items,Evolves certain species of Pokémon.,https://img.pokemondb.net/sprites/items/leaf-stone.png
Leafy Tablecloth,,A botanically themed tablecloth featuring Grass-type Pokémon. Can you find the Pokémon that doesn’t quite fit in?,https://img.pokemondb.net/s.png
Lechonk Hair,General items,"Material obtained after defeating/catching Lechonk, used in TM crafting.",https://img.pokemondb.net/s.png
Leek,Hold items,Increases critical-hit ratio when held by Farfetch'd.,https://img.pokemondb.net/sprites/items/leek.png
Leftovers,Hold items,An item to be held by a Pokémon. The holder's HP is gradually restored during battle.,https://img.pokemondb.net/sprites/items/leftovers.png
Legend Plate,Hold items,,https://img.pokemondb.net/s.png
Lemonade,Medicine,Restores 70 HP.,https://img.pokemondb.net/sprites/items/lemonade.png
Leppa Berry,Berries,"If held by a Pokémon, it restores a move's PP by 10.",https://img.pokemondb.net/sprites/items/leppa-berry.png
Lettuce,,This bitter-tasting ingredient is simple and straightforward—just add it to all kinds of other ingredients for a delightfully crunchy time.,https://img.pokemondb.net/s.png
Level Ball,Pokeballs,A Poké Ball for catching Pokémon that are a lower level than your own.,https://img.pokemondb.net/sprites/items/level-ball.png
Liechi Berry,Berries,Raises Attack when HP is low.,https://img.pokemondb.net/sprites/items/liechi-berry.png
Life Orb,Hold items,"Increases the power of moves, but loses HP each turn.",https://img.pokemondb.net/sprites/items/life-orb.png
Light Ball,Hold items,An item to be held by PIKACHU. It is a puzzling orb that raises the Attack and Sp. Atk stat.,https://img.pokemondb.net/sprites/items/light-ball.png
Light Clay,Hold items,A Pokémon held item that extends the duration of barrier moves like Light Screen and Reflect used by the holder.,https://img.pokemondb.net/sprites/items/light-clay.png
Lilac Tablecloth,,"A light purple tablecloth. It’s smooth and pleasant to the touch, and dishes can be placed on it with hardly a sound.",https://img.pokemondb.net/s.png
Linking Cord,General items,A string exuding a mysterious energy that makes you feel a strange sense of connection. It’s loved by certain Pokémon.,https://img.pokemondb.net/s.png
Litleo Tuft,General items,"Material obtained after defeating/catching Litleo, used in TM crafting.",https://img.pokemondb.net/s.png
Loaded Dice,Hold items,Makes multi-strike moves more likely to hit more times.,https://img.pokemondb.net/s.png
Lone Earring,General items,,https://img.pokemondb.net/s.png
Lonely Mint,Battle items,Changes the Pokémon's stats to match the Lonely nature.,https://img.pokemondb.net/s.png
Looker Ticket,Hold items,A ticket that was handmade by Looker. It's decorated with a liberal amount of glittery paint.,https://img.pokemondb.net/sprites/items/looker-ticket.png
Lopunnite,Hold items,Enables Lopunny to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/lopunnite.png
Lost Satchel,General items,,https://img.pokemondb.net/s.png
Love Ball,Pokeballs,Poké Ball for catching Pokémon that are the opposite gender of your Pokémon.,https://img.pokemondb.net/sprites/items/love-ball.png
Love Sweet,Hold items,Evolves Milcery into Heart Flavor Alcremie.,https://img.pokemondb.net/s.png
Lucarionite,Hold items,Enables Lucario to Mega Evolve during battle.,https://img.pokemondb.net/sprites/items/lucarionite.png
Luck Incense,Hold items,Doubles prize money if held. Breeding Chansey or Blissey produces Happiny when held.,https://img.pokemondb.net/sprites/items/luck-incense.png
Lucky Egg,Hold items,An item to be held by a Pokémon. It is an egg filled with happiness that earns extra Exp. Points in battle.,https://img.pokemondb.net/sprites/items/lucky-egg.png
Lucky Punch,Hold items,Increases critical-hit ratio when held by Chansey.,https://img.pokemondb.net/sprites/items/lucky-punch.png
Lum Berry,Berries,"If held by a Pokémon, it recovers from any status problem.",https://img.pokemondb.net/sprites/items/lum-berry.png
Luminous Moss,Hold items,Raises Special Defense if hit by a Water-type move.,https://img.pokemondb.net/sprites/items/luminous-moss.png
Lumiose Galette,Medicine,Heals all major status conditions.,https://img.pokemondb.net/sprites/items/lumiose-galette.png
Lunalium Z,Hold items,"Allows Lunala to upgrade Moongeist Beam to a Z-Move, Menacing Moonraze Maelstrom.",https://img.pokemondb.net/sprites/items/lunalium-z.png
Lure,General items,Attracts Pokémon in the wild.,https://img.pokemondb.net/s.png
Lure Ball,Pokeballs,A Poké Ball for catching Pokémon hooked by a Rod when fishing.,https://img.pokemondb.net/sprites/items/lure-ball.png
Lustrous Globe,Hold items,,https://img.pokemondb.net/s.png
Lustrous Orb,Hold items,Increases the power of Dragon- and Water-type moves when held by Palkia.,https://img.pokemondb.net/sprites/items/lustrous-orb.png
Luvdisc Scales,General items,"Material obtained after defeating/catching Luvdisc, used in TM crafting.",https://img.pokemondb.net/s.png
Luxury Ball,Pokeballs,Catches wild Pokémon and increases their friendship more quickly.,https://img.pokemondb.net/sprites/items/luxury-ball.png
Lycanium Z,Hold items,"Allows Lycanroc to upgrade Stone Edge to a Z-Move, Splintered Stormshards.",https://img.pokemondb.net/sprites/items/lycanium-z.png
Macho Brace,Hold items,An item to be held by a Pokémon. It is a stiff and heavy brace that promotes strong growth but lowers Speed.,https://img.pokemondb.net/sprites/items/macho-brace.png
Magical Heart Pick,,A pick shaped after a magic wand. Perhaps the real magic is the food maker’s wish for a delicious dish.,https://img.pokemondb.net/s.png
Magical Star Pick,,A pick shaped after a magic wand. Perhaps the real magic is the food maker’s wish for a delicious dish.,https://img.pokemondb.net/s.png
Magikarp Scales,General items,"Material obtained after defeating/catching Magikarp, used in TM crafting.",https://img.pokemondb.net/s.png
Magmarizer,General items,Evolves Magmar when traded holding the item.,https://img.pokemondb.net/sprites/items/magmarizer.png
Magnemite Screw,General items,"Material obtained after defeating/catching Magnemite, used in TM crafting.",https://img.pokemondb.net/s.png
Magnet,Hold items,Increases the power of Electric-type moves.,https://img.pokemondb.net/sprites/items/magnet.png
Mago Berry,Berries,"Restores HP if it's low, but may cause confusion.",https://img.pokemondb.net/sprites/items/mago-berry.png
